race_id	plural	subraces	txtheight	height	variable_height	scalable_height	has_dimorphism	height_mod	lifespan	bonus_lp	intel	charis	psy	agi	strn	cnst	kn_nat	kn_sci	kn_hist	percep	lang	cr_met	cr_tex	cr_art	persua	perform	magic	mentalRR	acroRR	stealth	w_light	w_vers	w_great	w_range	athlc_RR	h2h	bending	phy_RR	assets	handicaps
human	"""Humans"""	"""caeorn,yugin,nagani"""	"""1m50 to 2m"""	2	0	0	0	0	100	0																													"""quick_learners,passionate"""	
elf	"""Elves"""	"""high-elf,moon_elf,drow"""	"""1m70 to 2m20"""	2	0	0	0	0	200	0	2		2		-1												10							10					"""nightvision,elegance,fae_descent,pretty"""	
dwarf	"""Dwarves"""	"""stone_dwarf,grey_dwarf"""	"""1m10 to 1m50"""	1,5	0	0	0	0	80	0		1	-2		2	2						15											10						"""lions_heart,tanks,heavy_drinkers"""	
ogre	"""Ogres"""	"""white_ogre,swamp_ogre,orc"""	"""2m to 2m50"""	2,5	0	0	0	0	70	0	-2		-2		5	4																							"""rage,thick_head,warborn"""	"""revenge"""
gremlin	"""Gremlins"""		"""80 cm to 1m20"""	1	0	0	0	0	120	0	5			3	-3	-2						10	10	10															"""climbers,elusive,treasure_smellers"""	"""small"""
goblin	"""Goblins"""		"""1m50 to 2m"""	2	0	0	0	0	100	0		-2		3	1		15			15						15													"""animal_speech,forest_folk,mithridatism"""	"""unurban"""
troll	"""Trolls"""		"""1m80 to 2m30"""	2,5	0	0	0	0	60	0	-6			1	4	5								15															"""darkvision,rebuildable,insulated,insured"""	"""imposed_element_earth,big_bellied,homely"""
jinn	"""Jinn"""		"""1m40 to 1m90"""	2	0	0	0	0	150	0			3	2						15																	10		"""mana_tattoos,aerial,odorless"""	"""imposed_element_air"""
tiefling	"""Tieflings"""		"""1m50 to 2m for women, 1m90 to 2m40 for men"""	2	0	0	1	0,5	100	0					4	3																					15		"""infravision,nonflammable,smoldering_eyes"""	"""imposed_element_fire,short_breath"""
doppler	"""Dopplers"""		"""1m60 to 2m10"""	2	0	0	0	0	60	0		3	2	1	-3	-3																							"""darkvision,polymorph"""	"""bland_face"""
fairy	"""Fairies"""		"""20 cm to 35 cm"""	0,5	0	0	0	0	300	0	3		6		-5	-3																							"""fae_blood,flutterers,pretty"""	"""squishy,very_small"""
giant	"""Giants"""		"""3m plus 50cm per level"""	3	0	1	0	0,5	80	0																													"""resilient,hyperthermic,heavy_lifting,disproportionate"""	"""overpriced,clumsy"""
geleton	"""Geleton"""		"""1m20 to 2m50"""	1,5	1	0	0	1	60	0				-2	-3							-10	-10	-10															"""unreactive,swallow,nuclear,mutative"""	"""flabby"""
